Date,Open,High,Low,Close,Volume
"Mar 02, 2021",188.6,191,187.5,189.93,59.90K
"Mar 01, 2021",190,190,184,188.6,224.40K
"Feb 26, 2021",189,194.01,189,189.73,182.20K
"Feb 25, 2021",184.2,189.5,183,188.56,495.50K
"Feb 24, 2021",183,185,179,182.98,154.60K
"Feb 23, 2021",177,186.8,177,182.61,640.50K
"Feb 22, 2021",176.15,181.5,173.15,180.5,178.10K
"Feb 19, 2021",178.5,180,175,177.63,199.10K
"Feb 18, 2021",181.45,182.9,176.3,176.63,139.90K
"Feb 17, 2021",170.99,181.77,170.99,180.14,2.33M
"Feb 16, 2021",168.5,170.99,167.5,169.09,70.30K
"Feb 15, 2021",171,172,168.5,169.01,79.90K
"Feb 12, 2021",171,173,167.5,169.61,109.10K
"Feb 11, 2021",176.75,177,170,170.32,264.80K
"Feb 10, 2021",167,177.19,167,172.77,712.50K
"Feb 09, 2021",168.35,172,168.35,169.68,76.10K
"Feb 08, 2021",172,172.5,169.5,169.61,52.10K
"Feb 04, 2021",170.6,174,170,171.35,747.10K
"Feb 03, 2021",165.25,169.74,164.25,168.75,393.10K
"Feb 02, 2021",162.75,164,162.75,163.57,66.50K
"Feb 01, 2021",163.1,164.75,162.25,162.53,161.20K
"Jan 29, 2021",164,168,161.5,162.08,273.40K
"Jan 28, 2021",164,172,164,165.08,721.60K
"Jan 27, 2021",155,168.7,155,167.85,606.30K
"Jan 26, 2021",156,159.5,154.1,158.11,112.70K
"Jan 25, 2021",153,158,151.3,156.1,109.60K
"Jan 22, 2021",153.95,154,151.05,153.6,34.20K
"Jan 21, 2021",153.5,154.97,153,153.79,20.20K
"Jan 20, 2021",152.75,154.85,152,153.76,71.10K
"Jan 19, 2021",154,155,152.9,153.01,68.80K
"Jan 18, 2021",156.49,156.49,153.3,154.22,49.90K
"Jan 15, 2021",155.82,155.86,153,153.94,97.70K
"Jan 14, 2021",159,159,154.75,155.13,137.20K
"Jan 13, 2021",156,161.25,155,157.38,911.30K
"Jan 12, 2021",150.15,157.6,150.15,155.98,401.50K
"Jan 11, 2021",151.94,152.9,149.25,149.77,180.70K
"Jan 08, 2021",151.98,155,149,151.19,319.70K
"Jan 07, 2021",149,152.5,144.76,150.38,904.00K
"Jan 06, 2021",148.76,149.95,147,147.49,138.20K
"Jan 05, 2021",145.9,151.98,145.25,148.59,110.60K
"Jan 04, 2021",149.11,150,147,147.67,36.20K
"Jan 01, 2021",153,153.9,148.5,149.48,167.10K
"Dec 31, 2020",148.7,151,145,150.05,179.90K
"Dec 30, 2020",147.1,150.49,147,148.7,104.00K
"Dec 29, 2020",151.2,153.25,148.5,148.74,80.00K
"Dec 28, 2020",153.96,154,150.02,150.85,100.30K
"Dec 24, 2020",153,156,146.5,151.6,141.70K
"Dec 23, 2020",151.99,155.5,148.5,152.03,76.90K
"Dec 22, 2020",150.1,151.25,148,148.1,13.80K
"Dec 21, 2020",154,154,150,150.08,23.10K
"Dec 18, 2020",152,153,151.01,151.92,42.20K
"Dec 17, 2020",152.9,152.9,150.1,151.68,7.60K
"Dec 16, 2020",154.6,156.99,151.01,151.89,98.30K
"Dec 15, 2020",152,159,151.71,154.08,184.40K
"Dec 14, 2020",147,152,146.1,151.71,198.80K
"Dec 11, 2020",145.15,147.45,144.3,146.75,49.20K
"Dec 10, 2020",145.15,145.75,144,144.58,36.00K
"Dec 09, 2020",146.8,146.99,144.4,145.15,75.10K
"Dec 08, 2020",143.5,149.75,143.49,145.63,111.20K
"Dec 07, 2020",144.95,145,142.1,143.17,173.90K
"Dec 04, 2020",144,146,143,143.47,145.90K
"Dec 03, 2020",144,147,143,144.78,28.70K
"Dec 02, 2020",143.55,145,142.75,143.08,33.60K
"Dec 01, 2020",142.79,143.5,142.5,143.38,123.20K
"Nov 30, 2020",140.07,142.33,139,141.9,48.60K
"Nov 27, 2020",140.7,143.1,140.6,141.9,37.00K
"Nov 26, 2020",143,144.9,140.99,142.53,270.10K
"Nov 25, 2020",146.5,146.5,140.4,141.91,25.40K
"Nov 24, 2020",148.79,148.79,142,143.37,14.40K
"Nov 23, 2020",143.75,144.99,141,144.38,15.00K
"Nov 20, 2020",145.69,147.1,142.5,144.19,46.90K
"Nov 19, 2020",146,148.4,145.85,145.85,2.80K
"Nov 18, 2020",145.9,145.9,144.36,145.46,1.30K
"Nov 17, 2020",147.49,148,145.5,145.78,12.30K
"Nov 16, 2020",147.97,153.5,145.2,145.23,12.70K
"Nov 13, 2020",145,148,145,145.01,4.50K
"Nov 12, 2020",147.99,148.49,146,146.75,12.50K
"Nov 11, 2020",145.51,150,145.51,148,31.10K
"Nov 10, 2020",150.99,150.99,147.1,148.44,8.30K
"Nov 09, 2020",151.49,151.5,146.6,146.96,19.50K
"Nov 06, 2020",147.6,151.9,145,148.16,27.10K
"Nov 05, 2020",150,153,150,151.09,19.80K
"Nov 04, 2020",152,152,148,148.95,12.40K
"Nov 03, 2020",144.98,149.95,144.98,149.93,53.70K
"Nov 02, 2020",147,147,139.75,142.5,99.80K
"Oct 29, 2020",150.14,153.2,145,147.96,83.10K
"Oct 28, 2020",160,160,154.05,154.98,10.90K
"Oct 27, 2020",161.5,162.4,158.5,158.76,79.50K
"Oct 26, 2020",153,162.5,153,162.04,128.80K
"Oct 23, 2020",149,154.5,142,153.02,293.00K
"Oct 22, 2020",151,155,148,150.13,114.00K
"Oct 21, 2020",156.98,156.98,150.01,150.62,235.00K
"Oct 20, 2020",153,157,153,156.7,43.10K
"Oct 19, 2020",155,155,151,152.17,23.00K
"Oct 16, 2020",150.8,154.89,150.8,154.81,9.00K
"Oct 15, 2020",156,157.5,154,154.73,24.40K
"Oct 14, 2020",157,157.35,154.06,154.87,19.30K
"Oct 13, 2020",159,159.01,153,155.81,51.10K
"Oct 12, 2020",165,168.75,161,162.51,73.20K
"Oct 09, 2020",165,165,163,164.62,59.80K
"Oct 08, 2020",160.75,164,160,162.87,59.90K
"Oct 07, 2020",152.5,162.9,152.5,159.43,60.70K
"Oct 06, 2020",151,152.44,149,152,29.70K
"Oct 05, 2020",153.01,155.99,150,150.95,113.90K
"Oct 02, 2020",153.05,159.9,153.05,154.01,35.00K
"Oct 01, 2020",154.98,158.25,151,156.02,64.80K
"Sep 30, 2020",156,157,151.11,152.68,66.80K
"Sep 29, 2020",157.99,157.99,151,154.98,57.10K
"Sep 28, 2020",162.99,162.99,154,156.46,46.40K
"Sep 25, 2020",166,167,161.15,162.13,34.30K
"Sep 24, 2020",167,168.95,160.1,167.42,81.40K
"Sep 23, 2020",170,170,166,166.57,55.50K
"Sep 22, 2020",165.13,168,162.3,167.19,56.80K
"Sep 21, 2020",166,170,164.02,166.21,22.50K
"Sep 18, 2020",169.99,169.99,166.2,167.27,15.10K
"Sep 17, 2020",173.99,173.99,168,168.32,52.80K
"Sep 16, 2020",170.76,172,168.1,168.57,46.80K
"Sep 15, 2020",174,175.4,170,170.76,118.40K
"Sep 14, 2020",175.01,178.39,171,171.24,82.60K
"Sep 11, 2020",181,183,174,175.27,160.70K
"Sep 10, 2020",173.85,181.68,170.02,179.55,547.60K
"Sep 09, 2020",170,173,167.05,169.01,199.60K
"Sep 08, 2020",170.25,177.49,170,170.87,486.00K
"Sep 07, 2020",168.5,172,167,171.2,292.30K
"Sep 04, 2020",164.1,171,162.5,165.49,686.90K
"Sep 03, 2020",152.01,162.61,152.01,162.61,1.22M
"Sep 02, 2020",149,154.88,148.55,151.27,1.14M
"Sep 01, 2020",145.33,149,145,147.44,161.10K
"Aug 31, 2020",148.45,149.5,146,146.14,83.20K
"Aug 28, 2020",146.88,147.88,145,147.38,20.80K
"Aug 27, 2020",145,149,145,145.45,61.10K
"Aug 26, 2020",149,153,145.66,146.6,338.70K
"Aug 25, 2020",148,152,147.01,149.89,193.80K
"Aug 24, 2020",144.9,148,143.51,146.61,90.60K
"Aug 21, 2020",143.79,145.05,141.5,142.99,19.50K
"Aug 20, 2020",143.66,145.5,142.45,142.65,31.90K
"Aug 19, 2020",146.94,147,145,145.31,166.40K
"Aug 18, 2020",145.12,148,144,146.64,135.30K
"Aug 17, 2020",145,147.39,141.62,145.12,81.00K
"Aug 13, 2020",142,148,141,144.39,59.20K
"Aug 12, 2020",149.5,149.5,142.05,144.24,22.30K
"Aug 11, 2020",148.1,153.9,143.02,145.71,205.50K
"Aug 10, 2020",151,151.25,148.5,148.5,28.90K
"Aug 07, 2020",149,152.5,148,151.25,99.20K
"Aug 06, 2020",143.99,149.1,143.99,147.25,371.10K
"Aug 05, 2020",141,142.8,140,142.17,254.90K
"Aug 04, 2020",143,144.5,139,139.1,86.90K
"Aug 03, 2020",140.01,143.25,140,142.79,89.90K
"Jul 30, 2020",137.01,139.25,137,138.88,31.60K
"Jul 29, 2020",139.88,139.88,138.16,138.32,61.80K
"Jul 28, 2020",139,139.9,138.09,138.72,20.60K
"Jul 27, 2020",136.08,140,135.15,138,28.50K
"Jul 24, 2020",136.7,139.5,136.7,137.36,9.30K
"Jul 23, 2020",140,140,138.6,139.29,17.90K
"Jul 22, 2020",140.04,141.15,139.8,140.08,11.20K
"Jul 21, 2020",143,143,140,140.04,48.80K
"Jul 20, 2020",141,143.45,140,142.55,148.60K
"Jul 17, 2020",138.91,141.5,138,139.72,78.30K
"Jul 16, 2020",138.11,140.85,138,138.91,70.30K
"Jul 15, 2020",138,140.8,134,138.11,48.70K
"Jul 14, 2020",137.8,140.89,137.77,139.19,146.20K
"Jul 13, 2020",137.8,142.2,137.15,137.77,105.00K
"Jul 10, 2020",131,134,131,133.43,58.90K
"Jul 09, 2020",132,132.98,131.21,131.34,31.40K
"Jul 08, 2020",132.5,133.5,131.56,132,37.60K
"Jul 07, 2020",130,132.75,129,131.1,68.50K
"Jul 06, 2020",127.5,129.5,127.5,128.88,20.10K
"Jul 03, 2020",127.15,127.15,125.5,126.35,11.90K
"Jul 02, 2020",129,130.99,127.1,127.35,15.40K
"Jul 01, 2020",126.69,130,125,128.8,85.30K
"Jun 30, 2020",124.5,125.9,124.5,124.63,6.00K
"Jun 29, 2020",124.8,127,124.8,125.5,6.00K
"Jun 26, 2020",125,126.2,125,125.65,13.50K
"Jun 25, 2020",124.5,125,123.6,125,7.00K
"Jun 24, 2020",121.6,125,121.6,123,15.50K
"Jun 23, 2020",122,123.85,122,123.03,22.00K
"Jun 22, 2020",121,122.4,120,121.2,2.50K
